Zombie,bite_perimeter,bite_radius,bite_area,bite points_worst,bite points_mean,perimeter_mean,area_mean,radius_mean,area_se,cut_mean,cut_worst,radius_se,perimeter_se,deep_worst,deep_mean,deep_se,wound_se,wound_mean,wound_worst,cut_symmetry_worst
0,2.303600624,1.886689625,2.001237489,2.315161499,-0.038729439,1.269933688,0.984374905,1.094857483,2.487306312,0.10681987,2.114805944,2.489733927,2.833030866,2.616665024,3.283281296,0.71780106,0.655834402,-2.069093236,-1.359293474,2.750622244
0,1.535125992,1.805927438,1.890488989,1.092696635,-0.068857736,1.685954711,1.908708254,1.826337139,0.742208695,-0.093161876,-0.152627596,0.499254601,0.263326966,-0.430444219,-0.489004869,-0.456291131,0.243843426,-0.352220819,-0.369203222,-0.243889668
0,1.34747521,1.511870246,1.456284549,1.970284761,-0.046248785,1.56650313,1.558883633,1.576840202,1.181123186,0.0104872,0.854049255,1.228675946,0.850928301,1.082932167,1.051686595,0.202777984,1.441452822,0.456265787,-0.023974384,1.152255
0,-0.249939304,-0.281464464,-0.550021228,2.193530864,-0.055138845,-0.592687167,-0.764463792,-0.767863967,-0.288525336,0.05175923,1.994274712,0.326373441,0.286593405,3.893397435,3.40272944,0.814054562,1.122868707,0.254144135,0.133984094,6.04604135
0,1.338539459,1.29857524,1.220724246,0.730883987,-0.055491314,1.776573151,1.826229278,1.74695175,1.190143484,0.01105,0.611058291,1.270542782,1.273189412,-0.313394511,0.537869973,0.823078327,1.152892341,-1.149091237,-1.466770376,-0.868352984
0,-0.115009456,-0.165498247,-0.244320208,0.909480869,-0.064659434,-0.387148067,-0.505650454,-0.475839143,-0.289405365,-0.026657628,1.264337569,-0.255070294,-0.321304185,1.721616442,1.243182827,0.149303816,-0.094756445,-0.833130955,-0.313836333,1.754069388
0,1.368325297,1.3689833,1.27521954,1.203549872,-0.067357783,1.138125047,1.095294907,1.168572487,0.298454044,-0.068961458,0.506919306,0.149883071,0.155410293,0.02121498,0.086621427,-0.324610994,-0.258218452,0.16121464,0.322882892,0.262475664
0,0.09944858,0.163762976,0.028859427,0.624649635,-0.072899384,-0.07286684,-0.218964911,-0.118604893,0.303954225,-0.086820991,-0.026310865,0.643623001,0.490050986,0.724785507,1.138902701,-0.246405024,0.423985229,0.358689817,0.401047912,0.477640485
0,-0.031609109,-0.161356597,-0.248363407,1.400622294,-0.059709198,-0.18408038,-0.384207273,-0.319903558,-0.35254745,-0.000299808,1.281211942,-0.356850016,-0.2277434,1.818309679,1.683055359,0.109532404,0.053693745,0.588690317,0.822813332,2.389857168
0,-0.286278027,-0.244189609,-0.297409172,1.631566537,-0.062881422,-0.329481787,-0.509063378,-0.473003951,-0.360907726,0.03853342,4.010039039,-0.388250143,-0.409419634,5.112877271,2.402581756,1.509887167,0.397297555,1.104449013,2.443109057,2.3704438
0,0.492621648,0.604848764,0.473611343,-0.235232766,-0.083324644,0.442010663,0.406453254,0.536324567,0.00364431,-0.143729493,-0.614021153,-0.092655843,-0.198041563,-0.630828229,-0.715577143,-0.709959214,-0.725085959,0.918590024,1.335771275,0.076430893
0,0.870901796,0.859560276,0.735540337,1.015715221,-0.070467346,0.479081844,0.35867233,0.468279948,0.324634908,-0.081305547,0.594183918,0.363187383,0.345502047,1.95062674,0.469613891,-0.145138319,0.147100606,-0.32434197,0.261002251,1.44183773
0,1.32364654,0.971384843,0.793551457,0.949511204,-0.05255407,1.66535961,1.331355424,1.429410194,1.66887929,0.019023006,0.437011192,1.986249129,4.061201811,0.865372384,2.680352566,1.893230105,4.830787491,1.281015054,0.694166736,0.445284873
0,0.141148754,0.118204819,-0.007177783,-0.048167928,-0.075331423,0.483200864,0.363507304,0.488126295,-0.082818545,-0.081455628,-0.19794734,-0.006756644,0.018286814,-0.393548115,-0.080226774,0.610184298,1.331366164,1.083539877,0.322882892,-0.148440611
0,0.045834071,-0.25661456,-0.321492576,1.628487281,-0.064910079,0.067179841,-0.21782727,-0.112934508,-0.464971162,0.02493241,2.029951956,-0.6968376,-0.398528961,3.29669838,2.367512187,0.760580394,0.724221568,0.772226069,1.031253385,1.12475273
0,0.501557399,0.246595988,0.110074995,0.864831648,-0.06749877,0.196105168,0.01112299,0.116716082,-0.171481472,-0.020935823,2.069968326,-0.126943338,0.006406079,2.566409986,1.044102586,0.506578098,-0.173151489,1.917582093,1.865013597,2.13101227
0,0.480707312,0.579998861,0.452516391,0.706249934,-0.075742637,0.114136669,0.084216428,0.156408776,0.111227862,-0.105308985,0.087470618,0.243722531,0.162835752,-0.42726352,-0.011112259,-0.410169662,-0.141459876,0.196063201,0.8472399,0.207471123
0,0.879837547,0.971384843,0.763666941,1.420637461,-0.056078763,0.664437745,0.409297356,0.567511684,0.30439424,-0.013150418,0.989044235,0.592011298,0.489060924,1.07529849,1.853695566,-0.012455541,0.172120301,0.323841257,0.944946175,1.302708597
0,2.369129468,2.288429733,2.667486407,1.905620373,-0.05914133,1.56650313,1.720997482,1.850326693,1.58527653,-0.035943834,1.272533693,1.274151992,1.484567482,0.386359177,-0.032826717,0.055389809,0.545747744,0.66535715,0.8472399,-0.214769617
0,-0.225217058,-0.240047958,-0.297760754,0.212029253,-0.077614641,-0.185727988,-0.251956501,-0.166803165,-0.369268002,-0.11216577,-0.165162845,-0.488225261,-0.400014052,-0.489605212,-0.438760808,-0.280160592,0.202143934,-1.144444762,-1.045004956,0.123346531
1,-0.332743935,-0.366368301,-0.43962431,-0.649700702,-0.084158822,-0.261106055,-0.383638452,-0.297222018,-0.56485446,-0.131826264,-0.406225309,-0.79392535,-0.734159715,0.148442923,0.42790184,-0.510433726,-0.908730519,-0.830807717,-0.844707093,0.458227118
1,-1.254913493,-1.250610704,-0.994421562,-0.812285449,-0.088208303,-1.302806219,-1.083572106,-1.311086844,-0.542193712,-0.146946835,-0.88994125,-0.461517107,-0.473773613,-0.887192535,-0.749136384,-0.414514438,0.378949778,-1.590506338,-1.631242605,-0.729223851
1,0.531343238,0.372916331,0.176348304,1.913318515,-0.058130918,0.433772623,0.14081407,0.343531479,0.100447506,0.020148607,1.722356252,0.121370312,0.256396537,2.170094943,2.067943825,1.076412196,1.765040876,-1.167677136,-1.074316839,2.857395764
1,2.404872474,2.671532414,3.048953465,1.322101251,-0.062532869,1.863072572,2.130548258,1.993613494,1.180243157,-0.07177546,0.203662726,1.034139526,0.711329669,0.036482333,-0.042306729,-0.504752096,-0.259886431,1.123296106,1.614234158,-0.127409464
1,2.077228252,2.110338758,2.345788381,1.454509284,-0.060425885,0.742699125,0.710203413,0.714941692,1.369669411,-0.031629031,0.946135116,1.449559599,1.281604932,0.658626976,0.782454269,-0.161848996,-0.106432303,0.486467873,0.957973679,1.152255
1,1.344496626,1.238521306,1.020322197,2.155040156,-0.041470867,0.989840327,0.733240644,0.853866123,1.563275804,0.034406217,0.540185926,2.312882636,2.183055674,0.894634811,2.335280148,0.169356629,2.006897927,-0.670504339,-0.696519243,1.885109617
1,0.450921474,0.279729192,0.028683636,2.387524028,-0.061941504,0.224114504,-0.028694446,0.128056852,-0.424489825,-0.041009038,1.353048556,-0.543807095,-0.374272461,2.608395207,1.561711212,-0.181901809,0.263859182,0.521316433,1.226665935,2.205430178
1,0.972173646,1.043863728,0.918363259,0.523034168,-0.066061479,1.241100548,1.248876448,1.270639415,1.17034283,-0.034912034,0.34396108,1.615944181,1.36922535,-0.27077315,0.041117372,0.620210704,1.196259812,0.22394205,0.257745375,-0.905561938
1,1.252160527,0.828497897,0.682802956,1.345195675,-0.062066826,0.429653603,0.220448943,0.332190709,0.069426482,-0.01680862,1.73682,0.122092154,0.312830027,2.269332738,1.23749482,0.117219316,-0.184827347,1.39020721,1.796619205,1.822016173
1,0.823244454,0.774656439,0.608970622,0.470686806,-0.065192054,0.948650126,0.853830595,0.975779399,0.456639266,-0.082046568,-0.117432477,0.70425773,0.885580443,0.171343953,0.213653581,0.060737226,0.267195141,-0.984141384,-1.00266557,-0.234182984
1,1.585761918,1.424895583,1.387725953,1.074221096,-0.047619499,1.352314089,1.231811832,1.2763098,1.422471155,0.042848223,1.639430764,1.535819718,1.340513575,1.090565844,1.597735256,0.658645262,-0.059728872,1.353035412,1.356940968,0.878850077
1,0.361563959,0.114063168,0.014268752,0.609253352,-0.076044194,-0.578270597,-0.6094602,-0.648785884,0.014424666,-0.060425652,2.03621958,0.279092789,0.301444323,2.056225933,0.894318405,0.327439637,-0.249878553,-0.136159743,0.397791036,3.009467142
1,0.85898746,0.95481824,0.814646409,1.072681468,-0.049225193,0.858031686,0.695129669,1.186013402,0.603604119,0.05204063,1.376672678,0.706423256,0.560840363,0.646540321,0.856398359,0.607176376,-0.136455937,1.090509589,1.044280888,1.017979209
1,1.612569172,1.631978113,1.639107471,0.977224514,-0.066601932,1.480003709,1.442275426,1.457762118,0.612184402,-0.019247422,1.619181517,0.543647884,0.327680945,2.574679802,1.279206871,0.090816445,-0.382816532,1.668995695,0.850496776,1.247704056
