,user_id,anime_id,rating
119329,1212,5114,-1.0
119330,1212,5593,-1.0
119331,1212,6114,-1.0
119332,1212,6201,-1.0
119333,1212,6324,-1.0
119334,1212,6547,-1.0
119335,1212,6707,-1.0
119336,1212,6880,-1.0
119337,1212,6920,-1.0
119338,1212,7079,-1.0
119339,1212,7593,-1.0
119340,1212,7662,-1.0
119341,1212,7674,-1.0
119342,1212,8074,-1.0
119343,1212,8142,-1.0
119344,1212,8841,-1.0
119345,1212,8861,-1.0
119346,1212,8986,-1.0
119347,1212,9041,-1.0
119348,1212,9253,-1.0
119349,1212,9515,-1.0
119350,1212,9919,-1.0
119351,1212,9989,-1.0
119352,1212,10030,-1.0
119353,1212,10079,-1.0
119354,1212,10209,-1.0
119355,1212,10271,-1.0
119356,1212,10578,-1.0
119357,1212,10620,-1.0
119358,1212,10793,-1.0
119359,1212,11111,-1.0
119360,1212,11285,-1.0
119361,1212,11617,-1.0
119362,1212,11703,-1.0
119363,1212,11757,-1.0
119364,1212,11759,-1.0
119365,1212,11771,-1.0
119366,1212,12293,-1.0
119367,1212,12365,-1.0
119368,1212,13601,-1.0
119369,1212,13663,-1.0
119370,1212,14075,-1.0
119371,1212,14345,-1.0
119372,1212,14353,-1.0
119373,1212,14741,-1.0
119374,1212,15037,-1.0
119375,1212,16498,-1.0
119376,1212,16512,-1.0
119377,1212,18247,-1.0
119378,1212,18679,-1.0
119379,1212,19815,-1.0
119380,1212,20507,-1.0
119381,1212,20541,-1.0
119382,1212,20787,-1.0
119383,1212,21881,-1.0
119384,1212,21995,-1.0
119385,1212,22199,-1.0
119386,1212,22319,-1.0
119387,1212,22433,-1.0
119388,1212,22535,-1.0
119389,1212,22687,-1.0
119390,1212,22729,-1.0
119391,1212,23273,-1.0
119392,1212,23281,-1.0
119393,1212,25397,-1.0
119394,1212,26243,-1.0
119395,1212,27631,-1.0
119396,1212,27899,-1.0
119397,1212,28223,-1.0
119398,1212,28927,-1.0
119399,1212,29803,-1.0
119400,1212,30276,-1.0
119401,1212,30740,-1.0
119402,1212,30782,-1.0
119403,1212,31430,-1.0
119404,1212,31964,-1.0
119405,1212,32379,-1.0
119406,1213,1,8.0
119407,1213,30,6.0
119408,1213,32,6.0
